Country,Constant (2023) US$,Current US$,Share of GDP,Per capita,Share of Govt. spending
Estonia,1235.9497149969102,1235.9497149969102,0.029957229752250267,904.1329297709657,0.06951449231330133
Eswatini,70.513370260132,70.513370260132,0.0138354667632574,57.561934906230206,0.04731727272727273
Ethiopia,1409.020101008437,1409.020101008437,0.008824900473590247,11.092200940016665,0.08155000471457738
European Union,1273.7628618718156,1273.7628618718156,8.518243941199274e-05,28.381525442776642,0.006993919620347027
Fiji,73.34829746573489,73.34829746573489,0.01333517823635248,79.5534679671745,0.04609351643192488
Finland,5928.02105436018,5928.02105436018,0.020075369530220988,1060.4688827120178,0.03543818178295325
France,59491.964166101265,59491.96416610127,0.01950996838000512,896.2197641810349,0.03423437985700963
Gabon,265.3858026318787,265.3858026318787,0.013232439973537373,107.96818658742012,0.05964157626415318
"Gambia, The",13.950935482351191,13.950935482351193,0.005810088458009623,5.230946937514508,0.02440518253400143
Georgia,508.40141939870364,508.40141939870364,0.016586480840536225,133.5438453897304,0.05543985338220593
German Democratic Republic,xxx,xxx,xxx,xxx,xxx
Germany,67285.19863786241,67285.19863786241,0.01487963326205636,797.2085477406952,0.030755739097369342
Ghana,285.3759346916375,285.3759346916375,0.003980802475658065,8.5270844321761,0.02022424522339443
Greece,7014.878933107463,7014.878933107463,0.028832547263344513,677.8315714665632,0.05911379382550824
Guatemala,437.64500382420647,437.6450038242065,0.004189820957895399,24.335242650367356,0.03053560928674519
Guinea,504.6671802862754,504.6671802862754,0.021330970162216127,35.46750862929759,0.13931665609706184
Guinea-Bissau,25.29239217056829,25.292392170568288,0.012348847572106034,11.879939957993559,0.05762904140669313
Guyana,109.67487253633665,109.67487253633666,0.006403531015401343,133.100573466428,0.02762552591982059
Haiti,11.786377442106627,11.786377442106629,0.0005408046207618452,1.0187015939590862,0.009285724260824392
Honduras,522.9608573826795,522.9608573826796,0.015238863053834227,49.550962420189464,0.058334871224251635
Hungary,4355.478069889931,4355.478069889931,0.020495109679697154,449.80667870390704,0.04178178385596538
Iceland,0,0,...,...,...
